Name,Phys +0,Mag +0,Fire +0,Ligh +0,Holy +0,Stam +0,Phys +1,Mag +1,Fire +1,Ligh +1,Holy +1,Stam +1,Phys +2,Mag +2,Fire +2,Ligh +2,Holy +2,Stam +2,Phys +3,Mag +3,Fire +3,Ligh +3,Holy +3,Stam +3,Phys +4,Mag +4,Fire +4,Ligh +4,Holy +4,Stam +4,Phys +5,Mag +5,Fire +5,Ligh +5,Holy +5,Stam +5,Phys +6,Mag +6,Fire +6,Ligh +6,Holy +6,Stam +6,Phys +7,Mag +7,Fire +7,Ligh +7,Holy +7,Stam +7,Phys +8,Mag +8,Fire +8,Ligh +8,Holy +8,Stam +8,Phys +9,Mag +9,Fire +9,Ligh +9,Holy +9,Stam +9,Phys +10,Mag +10,Fire +10,Ligh +10,Holy +10,Stam +10,Phys +11,Mag +11,Fire +11,Ligh +11,Holy +11,Stam +11,Phys +12,Mag +12,Fire +12,Ligh +12,Holy +12,Stam +12,Phys +13,Mag +13,Fire +13,Ligh +13,Holy +13,Stam +13,Phys +14,Mag +14,Fire +14,Ligh +14,Holy +14,Stam +14,Phys +15,Mag +15,Fire +15,Ligh +15,Holy +15,Stam +15,Phys +16,Mag +16,Fire +16,Ligh +16,Holy +16,Stam +16,Phys +17,Mag +17,Fire +17,Ligh +17,Holy +17,Stam +17,Phys +18,Mag +18,Fire +18,Ligh +18,Holy +18,Stam +18,Phys +19,Mag +19,Fire +19,Ligh +19,Holy +19,Stam +19,Phys +20,Mag +20,Fire +20,Ligh +20,Holy +20,Stam +20,Phys +21,Mag +21,Fire +21,Ligh +21,Holy +21,Stam +21,Phys +22,Mag +22,Fire +22,Ligh +22,Holy +22,Stam +22,Phys +23,Mag +23,Fire +23,Ligh +23,Holy +23,Stam +23,Phys +24,Mag +24,Fire +24,Ligh +24,Holy +24,Stam +24,Phys +25,Mag +25,Fire +25,Ligh +25,Holy +25,Stam +25
Poison Dagger,60.35,0,0,0,0,30,64.042,0,0,0,0,31.2,67.734,0,0,0,0,32.4,71.426,0,0,0,0,33.6,75.118,0,0,0,0,34.8,78.81,0,0,0,0,36,82.502,0,0,0,0,37.2,86.194,0,0,0,0,38.4,89.886,0,0,0,0,39.6,93.578,0,0,0,0,40.8,97.27,0,0,0,0,42,100.962,0,0,0,0,43.2,104.654,0,0,0,0,44.4,108.346,0,0,0,0,45.6,112.038,0,0,0,0,46.8,115.73,0,0,0,0,48,119.422,0,0,0,0,49.2,123.114,0,0,0,0,50.4,126.806,0,0,0,0,51.6,130.498,0,0,0,0,52.8,134.19,0,0,0,0,54,137.882,0,0,0,0,55.2,141.574,0,0,0,0,56.4,145.266,0,0,0,0,57.6,148.958,0,0,0,0,58.8,152.65,0,0,0,0,60
Blood Dagger,60.35,0,0,0,0,30,64.042,0,0,0,0,31.2,67.734,0,0,0,0,32.4,71.426,0,0,0,0,33.6,75.118,0,0,0,0,34.8,78.81,0,0,0,0,36,82.502,0,0,0,0,37.2,86.194,0,0,0,0,38.4,89.886,0,0,0,0,39.6,93.578,0,0,0,0,40.8,97.27,0,0,0,0,42,100.962,0,0,0,0,43.2,104.654,0,0,0,0,44.4,108.346,0,0,0,0,45.6,112.038,0,0,0,0,46.8,115.73,0,0,0,0,48,119.422,0,0,0,0,49.2,123.114,0,0,0,0,50.4,126.806,0,0,0,0,51.6,130.498,0,0,0,0,52.8,134.19,0,0,0,0,54,137.882,0,0,0,0,55.2,141.574,0,0,0,0,56.4,145.266,0,0,0,0,57.6,148.958,0,0,0,0,58.8,152.65,0,0,0,0,60
Occult Dagger,63.9,0,0,0,0,30,67.734,0,0,0,0,31.2,71.568,0,0,0,0,32.4,75.402,0,0,0,0,33.6,79.236,0,0,0,0,34.8,83.07,0,0,0,0,36,86.904,0,0,0,0,37.2,90.738,0,0,0,0,38.4,94.572,0,0,0,0,39.6,98.406,0,0,0,0,40.8,102.24,0,0,0,0,42,106.074,0,0,0,0,43.2,109.908,0,0,0,0,44.4,113.742,0,0,0,0,45.6,117.576,0,0,0,0,46.8,121.41,0,0,0,0,48,125.244,0,0,0,0,49.2,129.078,0,0,0,0,50.4,132.912,0,0,0,0,51.6,136.746,0,0,0,0,52.8,140.58,0,0,0,0,54,144.414,0,0,0,0,55.2,148.248,0,0,0,0,56.4,152.082,0,0,0,0,57.6,155.916,0,0,0,0,58.8,159.75,0,0,0,0,60
Black Knife,66,0,0,0,65,28,75.57,0,0,0,74.425,30.8,85.14,0,0,0,83.85,33.6,94.71,0,0,0,93.275,36.4,104.28,0,0,0,102.7,39.2,113.85,0,0,0,112.125,42,123.42,0,0,0,121.55,44.8,132.99,0,0,0,130.975,47.6,142.56,0,0,0,140.4,50.4,152.13,0,0,0,149.825,53.2,161.7,0,0,0,159.25,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parrying Dagger,75,0,0,0,0,30,79.35,0,0,0,0,31.2,83.7,0,0,0,0,32.4,88.05,0,0,0,0,33.6,92.4,0,0,0,0,34.8,96.75,0,0,0,0,36,101.1,0,0,0,0,37.2,105.45,0,0,0,0,38.4,109.8,0,0,0,0,39.6,114.15,0,0,0,0,40.8,118.5,0,0,0,0,42,122.85,0,0,0,0,43.2,127.2,0,0,0,0,44.4,131.55,0,0,0,0,45.6,135.9,0,0,0,0,46.8,140.25,0,0,0,0,48,144.6,0,0,0,0,49.2,148.95,0,0,0,0,50.4,153.3,0,0,0,0,51.6,157.65,0,0,0,0,52.8,162,0,0,0,0,54,166.35,0,0,0,0,55.2,170.7,0,0,0,0,56.4,175.05,0,0,0,0,57.6,179.4,0,0,0,0,58.8,183.75,0,0,0,0,60
Heavy Parrying Dagger,68.4,0,0,0,0,30,72.432,0,0,0,0,31.2,76.464,0,0,0,0,32.4,80.496,0,0,0,0,33.6,84.528,0,0,0,0,34.8,88.56,0,0,0,0,36,92.592,0,0,0,0,37.2,96.624,0,0,0,0,38.4,100.656,0,0,0,0,39.6,104.688,0,0,0,0,40.8,108.72,0,0,0,0,42,112.752,0,0,0,0,43.2,116.784,0,0,0,0,44.4,120.816,0,0,0,0,45.6,124.848,0,0,0,0,46.8,128.88,0,0,0,0,48,132.912,0,0,0,0,49.2,136.944,0,0,0,0,50.4,140.976,0,0,0,0,51.6,145.008,0,0,0,0,52.8,149.04,0,0,0,0,54,153.072,0,0,0,0,55.2,157.104,0,0,0,0,56.4,161.136,0,0,0,0,57.6,165.168,0,0,0,0,58.8,169.2,0,0,0,0,60
Keen Parrying Dagger,68.4,0,0,0,0,28.5,72,0,0,0,0,30,75.6,0,0,0,0,31.5,79.2,0,0,0,0,33,82.8,0,0,0,0,34.5,86.4,0,0,0,0,36,90,0,0,0,0,37.5,93.6,0,0,0,0,39,97.2,0,0,0,0,40.5,100.8,0,0,0,0,42,104.4,0,0,0,0,43.5,108,0,0,0,0,45,111.6,0,0,0,0,46.5,115.2,0,0,0,0,48,118.8,0,0,0,0,49.5,122.4,0,0,0,0,51,126,0,0,0,0,52.5,129.6,0,0,0,0,54,133.2,0,0,0,0,55.5,136.8,0,0,0,0,57,140.4,0,0,0,0,58.5,144,0,0,0,0,60,147.6,0,0,0,0,61.5,151.2,0,0,0,0,63,154.8,0,0,0,0,64.5,158.4,0,0,0,0,66
Quality Parrying Dagger,64.8,0,0,0,0,30,68.112,0,0,0,0,31.2,71.424,0,0,0,0,32.4,74.736,0,0,0,0,33.6,78.048,0,0,0,0,34.8,81.36,0,0,0,0,36,84.672,0,0,0,0,37.2,87.984,0,0,0,0,38.4,91.296,0,0,0,0,39.6,94.608,0,0,0,0,40.8,97.92,0,0,0,0,42,101.232,0,0,0,0,43.2,104.544,0,0,0,0,44.4,107.856,0,0,0,0,45.6,111.168,0,0,0,0,46.8,114.48,0,0,0,0,48,117.792,0,0,0,0,49.2,121.104,0,0,0,0,50.4,124.416,0,0,0,0,51.6,127.728,0,0,0,0,52.8,131.04,0,0,0,0,54,134.352,0,0,0,0,55.2,137.664,0,0,0,0,56.4,140.976,0,0,0,0,57.6,144.288,0,0,0,0,58.8,147.6,0,0,0,0,60
Fire Parrying Dagger,57.6,0,57.6,0,0,30,60.192,0,60.192,0,0,31.2,62.784,0,62.784,0,0,32.4,65.376,0,65.376,0,0,33.6,67.968,0,67.968,0,0,34.8,70.56,0,70.56,0,0,36,73.152,0,73.152,0,0,37.2,75.744,0,75.744,0,0,38.4,78.336,0,78.336,0,0,39.6,80.928,0,80.928,0,0,40.8,83.52,0,83.52,0,0,42,86.112,0,86.112,0,0,43.2,88.704,0,88.704,0,0,44.4,91.296,0,91.296,0,0,45.6,93.888,0,93.888,0,0,46.8,96.48,0,96.48,0,0,48,99.072,0,99.072,0,0,49.2,101.664,0,101.664,0,0,50.4,104.256,0,104.256,0,0,51.6,106.848,0,106.848,0,0,52.8,109.44,0,109.44,0,0,54,112.032,0,112.032,0,0,55.2,114.624,0,114.624,0,0,56.4,117.216,0,117.216,0,0,57.6,119.808,0,119.808,0,0,58.8,122.4,0,122.4,0,0,60
Flame Art Parrying Dagger,61.2,0,61.2,0,0,30,64.368,0,64.368,0,0,31.2,67.536,0,67.536,0,0,32.4,70.704,0,70.704,0,0,33.6,73.872,0,73.872,0,0,34.8,77.04,0,77.04,0,0,36,80.208,0,80.208,0,0,37.2,83.376,0,83.376,0,0,38.4,86.544,0,86.544,0,0,39.6,89.712,0,89.712,0,0,40.8,92.88,0,92.88,0,0,42,96.048,0,96.048,0,0,43.2,99.216,0,99.216,0,0,44.4,102.384,0,102.384,0,0,45.6,105.552,0,105.552,0,0,46.8,108.72,0,108.72,0,0,48,111.888,0,111.888,0,0,49.2,115.056,0,115.056,0,0,50.4,118.224,0,118.224,0,0,51.6,121.392,0,121.392,0,0,52.8,124.56,0,124.56,0,0,54,127.728,0,127.728,0,0,55.2,130.896,0,130.896,0,0,56.4,134.064,0,134.064,0,0,57.6,137.232,0,137.232,0,0,58.8,140.4,0,140.4,0,0,60
Lightning Parrying Dagger,57.6,0,0,57.6,0,30,60.192,0,0,60.192,0,31.2,62.784,0,0,62.784,0,32.4,65.376,0,0,65.376,0,33.6,67.968,0,0,67.968,0,34.8,70.56,0,0,70.56,0,36,73.152,0,0,73.152,0,37.2,75.744,0,0,75.744,0,38.4,78.336,0,0,78.336,0,39.6,80.928,0,0,80.928,0,40.8,83.52,0,0,83.52,0,42,86.112,0,0,86.112,0,43.2,88.704,0,0,88.704,0,44.4,91.296,0,0,91.296,0,45.6,93.888,0,0,93.888,0,46.8,96.48,0,0,96.48,0,48,99.072,0,0,99.072,0,49.2,101.664,0,0,101.664,0,50.4,104.256,0,0,104.256,0,51.6,106.848,0,0,106.848,0,52.8,109.44,0,0,109.44,0,54,112.032,0,0,112.032,0,55.2,114.624,0,0,114.624,0,56.4,117.216,0,0,117.216,0,57.6,119.808,0,0,119.808,0,58.8,122.4,0,0,122.4,0,60
Sacred Parrying Dagger,54,0,0,0,54,30,57.456,0,0,0,57.456,31.2,60.912,0,0,0,60.912,32.4,64.368,0,0,0,64.368,33.6,67.824,0,0,0,67.824,34.8,71.28,0,0,0,71.28,36,74.736,0,0,0,74.736,37.2,78.192,0,0,0,78.192,38.4,81.648,0,0,0,81.648,39.6,85.104,0,0,0,85.104,40.8,88.56,0,0,0,88.56,42,92.016,0,0,0,92.016,43.2,95.472,0,0,0,95.472,44.4,98.928,0,0,0,98.928,45.6,102.384,0,0,0,102.384,46.8,105.84,0,0,0,105.84,48,109.296,0,0,0,109.296,49.2,112.752,0,0,0,112.752,50.4,116.208,0,0,0,116.208,51.6,119.664,0,0,0,119.664,52.8,123.12,0,0,0,123.12,54,126.576,0,0,0,126.576,55.2,130.032,0,0,0,130.032,56.4,133.488,0,0,0,133.488,57.6,136.944,0,0,0,136.944,58.8,140.4,0,0,0,140.4,60
Magic Parrying Dagger,54,54,0,0,0,30,57.456,57.456,0,0,0,31.2,60.912,60.912,0,0,0,32.4,64.368,64.368,0,0,0,33.6,67.824,67.824,0,0,0,34.8,71.28,71.28,0,0,0,36,74.736,74.736,0,0,0,37.2,78.192,78.192,0,0,0,38.4,81.648,81.648,0,0,0,39.6,85.104,85.104,0,0,0,40.8,88.56,88.56,0,0,0,42,92.016,92.016,0,0,0,43.2,95.472,95.472,0,0,0,44.4,98.928,98.928,0,0,0,45.6,102.384,102.384,0,0,0,46.8,105.84,105.84,0,0,0,48,109.296,109.296,0,0,0,49.2,112.752,112.752,0,0,0,50.4,116.208,116.208,0,0,0,51.6,119.664,119.664,0,0,0,52.8,123.12,123.12,0,0,0,54,126.576,126.576,0,0,0,55.2,130.032,130.032,0,0,0,56.4,133.488,133.488,0,0,0,57.6,136.944,136.944,0,0,0,58.8,140.4,140.4,0,0,0,60
Cold Parrying Dagger,61.2,51.85,0,0,0,30,63.936,54.168,0,0,0,31.2,66.672,56.486,0,0,0,32.4,69.408,58.804,0,0,0,33.6,72.144,61.122,0,0,0,34.8,74.88,63.44,0,0,0,36,77.616,65.758,0,0,0,37.2,80.352,68.076,0,0,0,38.4,83.088,70.394,0,0,0,39.6,85.824,72.712,0,0,0,40.8,88.56,75.03,0,0,0,42,91.296,77.348,0,0,0,43.2,94.032,79.666,0,0,0,44.4,96.768,81.984,0,0,0,45.6,99.504,84.302,0,0,0,46.8,102.24,86.62,0,0,0,48,104.976,88.938,0,0,0,49.2,107.712,91.256,0,0,0,50.4,110.448,93.574,0,0,0,51.6,113.184,95.892,0,0,0,52.8,115.92,98.21,0,0,0,54,118.656,100.528,0,0,0,55.2,121.392,102.846,0,0,0,56.4,124.128,105.164,0,0,0,57.6,126.864,107.482,0,0,0,58.8,129.6,109.8,0,0,0,60
Poison Parrying Dagger,61.2,0,0,0,0,30,64.944,0,0,0,0,31.2,68.688,0,0,0,0,32.4,72.432,0,0,0,0,33.6,76.176,0,0,0,0,34.8,79.92,0,0,0,0,36,83.664,0,0,0,0,37.2,87.408,0,0,0,0,38.4,91.152,0,0,0,0,39.6,94.896,0,0,0,0,40.8,98.64,0,0,0,0,42,102.384,0,0,0,0,43.2,106.128,0,0,0,0,44.4,109.872,0,0,0,0,45.6,113.616,0,0,0,0,46.8,117.36,0,0,0,0,48,121.104,0,0,0,0,49.2,124.848,0,0,0,0,50.4,128.592,0,0,0,0,51.6,132.336,0,0,0,0,52.8,136.08,0,0,0,0,54,139.824,0,0,0,0,55.2,143.568,0,0,0,0,56.4,147.312,0,0,0,0,57.6,151.056,0,0,0,0,58.8,154.8,0,0,0,0,60
Blood Parrying Dagger,61.2,0,0,0,0,30,64.944,0,0,0,0,31.2,68.688,0,0,0,0,32.4,72.432,0,0,0,0,33.6,76.176,0,0,0,0,34.8,79.92,0,0,0,0,36,83.664,0,0,0,0,37.2,87.408,0,0,0,0,38.4,91.152,0,0,0,0,39.6,94.896,0,0,0,0,40.8,98.64,0,0,0,0,42,102.384,0,0,0,0,43.2,106.128,0,0,0,0,44.4,109.872,0,0,0,0,45.6,113.616,0,0,0,0,46.8,117.36,0,0,0,0,48,121.104,0,0,0,0,49.2,124.848,0,0,0,0,50.4,128.592,0,0,0,0,51.6,132.336,0,0,0,0,52.8,136.08,0,0,0,0,54,139.824,0,0,0,0,55.2,143.568,0,0,0,0,56.4,147.312,0,0,0,0,57.6,151.056,0,0,0,0,58.8,154.8,0,0,0,0,60
Occult Parrying Dagger,64.8,0,0,0,0,30,68.688,0,0,0,0,31.2,72.576,0,0,0,0,32.4,76.464,0,0,0,0,33.6,80.352,0,0,0,0,34.8,84.24,0,0,0,0,36,88.128,0,0,0,0,37.2,92.016,0,0,0,0,38.4,95.904,0,0,0,0,39.6,99.792,0,0,0,0,40.8,103.68,0,0,0,0,42,107.568,0,0,0,0,43.2,111.456,0,0,0,0,44.4,115.344,0,0,0,0,45.6,119.232,0,0,0,0,46.8,123.12,0,0,0,0,48,127.008,0,0,0,0,49.2,130.896,0,0,0,0,50.4,134.784,0,0,0,0,51.6,138.672,0,0,0,0,52.8,142.56,0,0,0,0,54,146.448,0,0,0,0,55.2,150.336,0,0,0,0,56.4,154.224,0,0,0,0,57.6,158.112,0,0,0,0,58.8,162,0,0,0,0,60
