Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Weapon Type,2H Dual-Wield,Reinforce Type ID
Lordsworn's Sacred Straight Sword,Lordsworn's Straight Sword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,700
Lordsworn's Magic Straight Sword,Lordsworn's Straight Sword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,800
Lordsworn's Cold Straight Sword,Lordsworn's Straight Sword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,900
Lordsworn's Poison Straight Sword,Lordsworn's Straight Sword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1000
Lordsworn's Blood Straight Sword,Lordsworn's Straight Sword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1100
Lordsworn's Occult Straight Sword,Lordsworn's Straight Sword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1200
Weathered Straight Sword,Weathered Straight Sword,None,None,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,0
Weathered Heavy Straight Sword,Weathered Straight Sword,Heavy,Heavy,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,100
Weathered Keen Straight Sword,Weathered Straight Sword,Keen,Keen,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,200
Weathered Quality Straight Sword,Weathered Straight Sword,Quality,Quality,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,300
Weathered Fire Straight Sword,Weathered Straight Sword,Fire,Fire,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,400
Weathered Flame Art Straight Sword,Weathered Straight Sword,Flame Art,Flame Art,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,500
Weathered Lightning Straight Sword,Weathered Straight Sword,Lightning,Lightning,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,600
Weathered Sacred Straight Sword,Weathered Straight Sword,Sacred,Sacred,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,700
Weathered Magic Straight Sword,Weathered Straight Sword,Magic,Magic,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,800
Weathered Cold Straight Sword,Weathered Straight Sword,Cold,Cold,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,900
Weathered Poison Straight Sword,Weathered Straight Sword,Poison,Poison,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1000
Weathered Blood Straight Sword,Weathered Straight Sword,Blood,Blood,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1100
Weathered Occult Straight Sword,Weathered Straight Sword,Occult,Occult,25,7,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1200
Ornamental Straight Sword,Ornamental Straight Sword,None,-,10,10,14,0,0,0,Standard/Pierce,3,Straight Sword,Yes,2200
Golden Epitaph,Golden Epitaph,None,-,10,12,10,0,14,0,Standard/Pierce,3.5,Straight Sword,No,2200
Nox Flowing Sword,Nox Flowing Sword,None,-,10,8,15,0,0,0,Slash,3.5,Curved Sword,No,2200
Inseparable Sword,Inseparable Sword,None,-,10,18,18,0,20,0,Standard/Pierce,10,Greatsword,No,2200
Coded Sword,Coded Sword,None,-,10,0,0,0,20,0,Standard/Pierce,2.5,Straight Sword,No,2200
Sword of Night and Flame,Sword of Night and Flame,None,-,10,12,12,24,24,0,Standard/Pierce,4,Straight Sword,No,2200
Crystal Sword,Crystal Sword,None,-,10,13,10,15,0,0,Standard/Pierce,4.5,Straight Sword,No,2200
Carian Knight's Sword,Carian Knight's Sword,None,-,10,10,10,18,0,0,Standard/Pierce,4,Straight Sword,No,2200
Sword of St. Trina,Sword of St. Trina,None,-,10,10,12,14,0,0,Standard/Pierce,3,Straight Sword,No,2200
Miquellan Knight's Sword,Miquellan Knight's Sword,None,-,10,11,11,0,16,0,Standard/Pierce,3.5,Straight Sword,No,2200
Cane Sword,Cane Sword,None,None,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,0
Heavy Cane Sword,Cane Sword,Heavy,Heavy,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,100
Keen Cane Sword,Cane Sword,Keen,Keen,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,5000
Quality Cane Sword,Cane Sword,Quality,Quality,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,300
Fire Cane Sword,Cane Sword,Fire,Fire,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,400
Flame Art Cane Sword,Cane Sword,Flame Art,Flame Art,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,500
Lightning Cane Sword,Cane Sword,Lightning,Lightning,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,600
Sacred Cane Sword,Cane Sword,Sacred,Sacred,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,700
Magic Cane Sword,Cane Sword,Magic,Magic,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,800
Cold Cane Sword,Cane Sword,Cold,Cold,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,900
Poison Cane Sword,Cane Sword,Poison,Poison,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,1000
Blood Cane Sword,Cane Sword,Blood,Blood,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,1100
Occult Cane Sword,Cane Sword,Occult,Occult,25,8,11,0,0,0,Standard/Pierce,2.5,Straight Sword,No,1200
Regalia of Eochaid,Regalia of Eochaid,None,-,10,12,18,0,0,15,Standard/Pierce,5.5,Straight Sword,No,2200
Noble's Slender Sword,Noble's Slender Sword,None,None,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,0
Noble's Heavy Slender Sword,Noble's Slender Sword,Heavy,Heavy,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,100
Noble's Keen Slender Sword,Noble's Slender Sword,Keen,Keen,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,5000
Noble's Quality Slender Sword,Noble's Slender Sword,Quality,Quality,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,300
Noble's Fire Slender Sword,Noble's Slender Sword,Fire,Fire,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,400
Noble's Flame Art Slender Sword,Noble's Slender Sword,Flame Art,Flame Art,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,500
Noble's Lightning Slender Sword,Noble's Slender Sword,Lightning,Lightning,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,600
Noble's Sacred Slender Sword,Noble's Slender Sword,Sacred,Sacred,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,700
Noble's Magic Slender Sword,Noble's Slender Sword,Magic,Magic,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,800
Noble's Cold Slender Sword,Noble's Slender Sword,Cold,Cold,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,900
Noble's Poison Slender Sword,Noble's Slender Sword,Poison,Poison,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1000
Noble's Blood Slender Sword,Noble's Slender Sword,Blood,Blood,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1100
Noble's Occult Slender Sword,Noble's Slender Sword,Occult,Occult,25,8,11,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1200
Warhawk's Talon,Warhawk's Talon,None,None,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,0
Warhawk's Heavy Talon,Warhawk's Talon,Heavy,Heavy,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,100
Warhawk's Keen Talon,Warhawk's Talon,Keen,Keen,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,5000
Warhawk's Quality Talon,Warhawk's Talon,Quality,Quality,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,300
Warhawk's Fire Talon,Warhawk's Talon,Fire,Fire,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,400
Warhawk's Flame Art Talon,Warhawk's Talon,Flame Art,Flame Art,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,500
Warhawk's Lightning Talon,Warhawk's Talon,Lightning,Lightning,25,10,16,0,0,0,Standard/Pierce,3,Straight Sword,No,600
