Name,Physical,Magic,Fire,Lightning,Holy,AttackElementCorrect ID
Lordsworn's Sacred Straight Sword,0,0,0,0,4,10000
Lordsworn's Magic Straight Sword,0,4,0,0,0,10000
Lordsworn's Cold Straight Sword,0,4,0,0,0,10000
Lordsworn's Poison Straight Sword,0,0,0,0,0,10013
Lordsworn's Blood Straight Sword,0,0,0,0,0,10013
Lordsworn's Occult Straight Sword,7,0,0,0,0,10013
Weathered Straight Sword,0,0,0,0,0,10000
Weathered Heavy Straight Sword,1,0,0,0,0,10000
Weathered Keen Straight Sword,2,0,0,0,0,10000
Weathered Quality Straight Sword,8,0,0,0,0,10000
Weathered Fire Straight Sword,0,0,4,0,0,10005
Weathered Flame Art Straight Sword,0,0,4,0,0,10000
Weathered Lightning Straight Sword,0,0,0,4,0,10000
Weathered Sacred Straight Sword,0,0,0,0,4,10000
Weathered Magic Straight Sword,0,4,0,0,0,10000
Weathered Cold Straight Sword,0,4,0,0,0,10000
Weathered Poison Straight Sword,0,0,0,0,0,10013
Weathered Blood Straight Sword,0,0,0,0,0,10013
Weathered Occult Straight Sword,7,0,0,0,0,10013
Ornamental Straight Sword,0,0,0,0,0,10000
Golden Epitaph,0,0,0,0,4,10000
Nox Flowing Sword,0,0,0,0,0,10000
Inseparable Sword,0,0,0,0,4,10000
Coded Sword,0,0,0,0,4,10000
Sword of Night and Flame,0,4,4,0,0,10000
Crystal Sword,0,4,0,0,0,10000
Carian Knight's Sword,0,4,0,0,0,10000
Sword of St. Trina,0,4,0,0,0,10000
Miquellan Knight's Sword,0,4,0,0,4,10000
Cane Sword,0,0,0,0,0,10000
Heavy Cane Sword,1,0,0,0,0,10000
Keen Cane Sword,2,0,0,0,0,10000
Quality Cane Sword,8,0,0,0,0,10000
Fire Cane Sword,0,0,4,0,0,10005
Flame Art Cane Sword,0,0,4,0,0,10000
Lightning Cane Sword,0,0,0,4,0,10000
Sacred Cane Sword,0,0,0,0,4,10000
Magic Cane Sword,0,4,0,0,0,10000
Cold Cane Sword,0,4,0,0,0,10000
Poison Cane Sword,0,0,0,0,0,10013
Blood Cane Sword,0,0,0,0,0,10013
Occult Cane Sword,7,0,0,0,0,10013
Regalia of Eochaid,7,4,0,0,0,10100
Noble's Slender Sword,0,0,0,0,0,10000
Noble's Heavy Slender Sword,1,0,0,0,0,10000
Noble's Keen Slender Sword,2,0,0,0,0,10000
Noble's Quality Slender Sword,8,0,0,0,0,10000
Noble's Fire Slender Sword,0,0,4,0,0,10005
Noble's Flame Art Slender Sword,0,0,4,0,0,10000
Noble's Lightning Slender Sword,0,0,0,4,0,10000
Noble's Sacred Slender Sword,0,0,0,0,4,10000
Noble's Magic Slender Sword,0,4,0,0,0,10000
Noble's Cold Slender Sword,0,4,0,0,0,10000
Noble's Poison Slender Sword,0,0,0,0,0,10013
Noble's Blood Slender Sword,0,0,0,0,0,10013
Noble's Occult Slender Sword,7,0,0,0,0,10013
Warhawk's Talon,0,0,0,0,0,10000
Warhawk's Heavy Talon,1,0,0,0,0,10000
Warhawk's Keen Talon,2,0,0,0,0,10000
Warhawk's Quality Talon,8,0,0,0,0,10000
Warhawk's Fire Talon,0,0,4,0,0,10005
Warhawk's Flame Art Talon,0,0,4,0,0,10000
Warhawk's Lightning Talon,0,0,0,4,0,10000
Warhawk's Sacred Talon,0,0,0,0,4,10000
Warhawk's Magic Talon,0,4,0,0,0,10000
Warhawk's Cold Talon,0,4,0,0,0,10000
Warhawk's Poison Talon,0,0,0,0,0,10013
Warhawk's Blood Talon,0,0,0,0,0,10013
Warhawk's Occult Talon,7,0,0,0,0,10013
Lazuli Glintstone Sword,0,4,0,0,0,10000
Rotten Crystal Sword,0,4,0,0,0,10000
Bastard Sword,0,0,0,0,0,10000
Heavy Bastard Sword,1,0,0,0,0,10000
Keen Bastard Sword,2,0,0,0,0,10000
Quality Bastard Sword,8,0,0,0,0,10000
Fire Bastard Sword,0,0,4,0,0,10005
Flame Art Bastard Sword,0,0,4,0,0,10000
Lightning Bastard Sword,0,0,0,4,0,10000
Sacred Bastard Sword,0,0,0,0,4,10000
Magic Bastard Sword,0,4,0,0,0,10000
Cold Bastard Sword,0,4,0,0,0,10000
Poison Bastard Sword,0,0,0,0,0,10013
Bloody Bastard Sword,0,0,0,0,0,10013
Occult Bastard Sword,7,0,0,0,0,10013
Forked Greatsword,0,0,0,0,0,10000
Heavy Forked Greatsword,1,0,0,0,0,10000
Keen Forked Greatsword,2,0,0,0,0,10000
Quality Forked Greatsword,8,0,0,0,0,10000
Fire Forked Greatsword,0,0,4,0,0,10005
Flame Art Forked Greatsword,0,0,4,0,0,10000
Lightning Forked Greatsword,0,0,0,4,0,10000
Sacred Forked Greatsword,0,0,0,0,4,10000
Magic Forked Greatsword,0,4,0,0,0,10000
Cold Forked Greatsword,0,4,0,0,0,10000
Poison Forked Greatsword,0,0,0,0,0,10013
Blood Forked Greatsword,0,0,0,0,0,10013
Occult Forked Greatsword,7,0,0,0,0,10013
Iron Greatsword,0,0,0,0,0,10000
Heavy Iron Greatsword,1,0,0,0,0,10000
Keen Iron Greatsword,2,0,0,0,0,10000
Quality Iron Greatsword,8,0,0,0,0,10000
Fire Iron Greatsword,0,0,4,0,0,10005
Flame Art Iron Greatsword,0,0,4,0,0,10000
Lightning Iron Greatsword,0,0,0,4,0,10000
Sacred Iron Greatsword,0,0,0,0,4,10000
Magic Iron Greatsword,0,4,0,0,0,10000
Cold Iron Greatsword,0,4,0,0,0,10000
Poison Iron Greatsword,0,0,0,0,0,10013
Blood Iron Greatsword,0,0,0,0,0,10013
Occult Iron Greatsword,7,0,0,0,0,10013
Lordsworn's Greatsword,0,0,0,0,0,10000
Lordsworn's Heavy Greatsword,1,0,0,0,0,10000
Lordsworn's Keen Greatsword,2,0,0,0,0,10000
Lordsworn's Quality Greatsword,8,0,0,0,0,10000
Lordsworn's Fire Greatsword,0,0,4,0,0,10005
Lordsworn's Flame Art Greatsword,0,0,4,0,0,10000
Lordsworn's Lightning Greatsword,0,0,0,4,0,10000
Lordsworn's Sacred Greatsword,0,0,0,0,4,10000
Lordsworn's Magic Greatsword,0,4,0,0,0,10000
Lordsworn's Cold Greatsword,0,4,0,0,0,10000
Lordsworn's Poison Greatsword,0,0,0,0,0,10013
Lordsworn's Blood Greatsword,0,0,0,0,0,10013
Lordsworn's Occult Greatsword,7,0,0,0,0,10013
Knight's Greatsword,0,0,0,0,0,10000
Knight's Heavy Greatsword,1,0,0,0,0,10000
Knight's Keen Greatsword,2,0,0,0,0,10000
Knight's Quality Greatsword,8,0,0,0,0,10000
Knight's Fire Greatsword,0,0,4,0,0,10005
Knight's Flame Art Greatsword,0,0,4,0,0,10000
Knight's Lightning Greatsword,0,0,0,4,0,10000
Knight's Sacred Greatsword,0,0,0,0,4,10000
Knight's Magic Greatsword,0,4,0,0,0,10000
Knight's Cold Greatsword,0,4,0,0,0,10000
Knight's Poison Greatsword,0,0,0,0,0,10013
Knight's Blood Greatsword,0,0,0,0,0,10013
Knight's Occult Greatsword,7,0,0,0,0,10013
Flamberge,0,0,0,0,0,10000
Heavy Flamberge,1,0,0,0,0,10000
Keen Flamberge,2,0,0,0,0,10000
Quality Flamberge,8,0,0,0,0,10000
Fire Flamberge,0,0,4,0,0,10005
Flame Art Flamberge,0,0,4,0,0,10000
Lightning Flamberge,0,0,0,4,0,10000
Sacred Flamberge,0,0,0,0,4,10000
Magic Flamberge,0,4,0,0,0,10000
Cold Flamberge,0,4,0,0,0,10000
Poison Flamberge,0,0,0,0,0,10013
Blood Flamberge,0,0,0,0,0,10013
Occult Flamberge,7,0,0,0,0,10013
Ordovis's Greatsword,0,0,0,0,4,10000
Alabaster Lord's Sword,0,4,0,0,0,10000
Banished Knight's Greatsword,0,0,0,0,0,10000
Banished Knight's Heavy Greatsword,1,0,0,0,0,10000
Banished Knight's Keen Greatsword,2,0,0,0,0,10000
Banished Knight's Quality Greatsword,8,0,0,0,0,10000
Banished Knight's Fire Greatsword,0,0,4,0,0,10005
Banished Knight's Flame Art Greatsword,0,0,4,0,0,10000
Banished Knight's Lightning Greatsword,0,0,0,4,0,10000
Banished Knight's Sacred Greatsword,0,0,0,0,4,10000
Banished Knight's Magic Greatsword,0,4,0,0,0,10000
Banished Knight's Cold Greatsword,0,4,0,0,0,10000
Banished Knight's Poison Greatsword,0,0,0,0,0,10013
Banished Knight's Blood Greatsword,0,0,0,0,0,10013
Banished Knight's Occult Greatsword,7,0,0,0,0,10013
Dark Moon Greatsword,0,4,0,0,0,10000
Sacred Relic Sword,0,0,0,0,4,10000
Helphen's Steeple,0,4,4,0,0,10000
Blasphemous Blade,0,0,4,0,0,10000
Marais Executioner's Sword,7,4,0,0,0,10100
Sword of Milos,0,0,0,0,0,10000
Golden Order Greatsword,0,0,0,0,4,10000
Claymore,0,0,0,0,0,10000
Heavy Claymore,1,0,0,0,0,10000
Keen Claymore,2,0,0,0,0,10000
Quality Claymore,8,0,0,0,0,10000
Fire Claymore,0,0,4,0,0,10005
Flame Art Claymore,0,0,4,0,0,10000
Lightning Claymore,0,0,0,4,0,10000
Sacred Claymore,0,0,0,0,4,10000
Magic Claymore,0,4,0,0,0,10000
Cold Claymore,0,4,0,0,0,10000
Poison Claymore,0,0,0,0,0,10013
Blood Claymore,0,0,0,0,0,10013
Occult Claymore,7,0,0,0,0,10013
Gargoyle's Greatsword,0,0,0,0,0,10000
Gargoyle's Heavy Greatsword,1,0,0,0,0,10000
Gargoyle's Keen Greatsword,2,0,0,0,0,10000
Gargoyle's Quality Greatsword,8,0,0,0,0,10000
Gargoyle's Fire Greatsword,0,0,4,0,0,10005
Gargoyle's Flame Art Greatsword,0,0,4,0,0,10000
Gargoyle's Lightning Greatsword,0,0,0,4,0,10000
Gargoyle's Sacred Greatsword,0,0,0,0,4,10000
Gargoyle's Magic Greatsword,0,4,0,0,0,10000
Gargoyle's Cold Greatsword,0,4,0,0,0,10000
Gargoyle's Poison Greatsword,0,0,0,0,0,10013
Gargoyle's Blood Greatsword,0,0,0,0,0,10013
Gargoyle's Occult Greatsword,7,0,0,0,0,10013
Death's Poker,0,4,0,0,0,10000
Gargoyle's Blackblade,0,0,0,0,4,10000
Greatsword,0,0,0,0,0,10000
Heavy Greatsword,1,0,0,0,0,10000
Keen Greatsword,2,0,0,0,0,10000
Quality Greatsword,8,0,0,0,0,10000
Fire Greatsword,0,0,4,0,0,10005
Flame Art Greatsword,0,0,4,0,0,10000
Lightning Greatsword,0,0,0,4,0,10000
Sacred Greatsword,0,0,0,0,4,10000
Magic Greatsword,0,4,0,0,0,10000
Cold Greatsword,0,4,0,0,0,10000
Poison Greatsword,0,0,0,0,0,10013
Blood Greatsword,0,0,0,0,0,10013
Occult Greatsword,7,0,0,0,0,10013
Watchdog's Greatsword,0,0,0,0,0,10000
Watchdog's Heavy Greatsword,1,0,0,0,0,10000
Watchdog's Keen Greatsword,2,0,0,0,0,10000
Watchdog's Quality Greatsword,8,0,0,0,0,10000
Watchdog's Fire Greatsword,0,0,4,0,0,10005
Watchdog's Flame Art Greatsword,0,0,4,0,0,10000
Watchdog's Lightning Greatsword,0,0,0,4,0,10000
Watchdog's Sacred Greatsword,0,0,0,0,4,10000
Watchdog's Magic Greatsword,0,4,0,0,0,10000
Watchdog's Cold Greatsword,0,4,0,0,0,10000
Watchdog's Poison Greatsword,0,0,0,0,0,10013
Watchdog's Blood Greatsword,0,0,0,0,0,10013
Watchdog's Occult Greatsword,7,0,0,0,0,10013
Maliketh's Black Blade,0,0,0,0,4,10000
Troll's Golden Sword,0,0,0,0,0,10000
Troll's Golden Heavy Sword,1,0,0,0,0,10000
Troll's Golden Keen Sword,2,0,0,0,0,10000
Troll's Golden Quality Sword,8,0,0,0,0,10000
Troll's Golden Fire Sword,0,0,4,0,0,10005
Troll's Golden Flame Art Sword,0,0,4,0,0,10000
Troll's Golden Lightning Sword,0,0,0,4,0,10000
Troll's Golden Sacred Sword,0,0,0,0,4,10000
Troll's Golden Magic Sword,0,4,0,0,0,10000
Troll's Golden Cold Sword,0,4,0,0,0,10000
Troll's Golden Poison Sword,0,0,0,0,0,10013
Troll's Golden Blood Sword,0,0,0,0,0,10013
Troll's Golden Occult Sword,7,0,0,0,0,10013
Zweihander,0,0,0,0,0,10000
Heavy Zweihander,1,0,0,0,0,10000
Keen Zweihander,2,0,0,0,0,10000
Quality Zweihander,8,0,0,0,0,10000
Fire Zweihander,0,0,4,0,0,10005
Flame Art Zweihander,0,0,4,0,0,10000
Lightning Zweihander,0,0,0,4,0,10000
Sacred Zweihander,0,0,0,0,4,10000
Magic Zweihander,0,4,0,0,0,10000
Cold Zweihander,0,4,0,0,0,10000
Poison Zweihander,0,0,0,0,0,10013
Blood Zweihander,0,0,0,0,0,10013
Occult Zweihander,7,0,0,0,0,10013
Starscourge Greatsword,0,4,0,0,0,10000
Royal Greatsword,0,4,0,0,0,10000
Godslayer's Greatsword,0,0,4,0,0,10000
Ruins Greatsword,0,4,0,0,0,10000
Grafted Blade Greatsword,0,0,0,0,0,10000
Troll Knight's Sword,0,4,0,0,0,10000
Estoc,0,0,0,0,0,10000
Heavy Estoc,1,0,0,0,0,10000
Keen Estoc,2,0,0,0,0,10000
Quality Estoc,8,0,0,0,0,10000
Fire Estoc,0,0,4,0,0,10005
Flame Art Estoc,0,0,4,0,0,10000
Lightning Estoc,0,0,0,4,0,10000
Sacred Estoc,0,0,0,0,4,10000
Magic Estoc,0,4,0,0,0,10000
Cold Estoc,0,4,0,0,0,10000
Poison Estoc,0,0,0,0,0,10013
Blood Estoc,0,0,0,0,0,10013
Occult Estoc,7,0,0,0,0,10013
Cleanrot Knight's Sword,0,0,0,0,0,10000
Cleanrot Knight's Heavy Sword,1,0,0,0,0,10000
Cleanrot Knight's Keen Sword,2,0,0,0,0,10000
Cleanrot Knight's Quality Sword,8,0,0,0,0,10000
Cleanrot Knight's Fire Sword,0,0,4,0,0,10005
Cleanrot Knight's Flame Art Sword,0,0,4,0,0,10000
Cleanrot Knight's Lightning Sword,0,0,0,4,0,10000
Cleanrot Knight's Sacred Sword,0,0,0,0,4,10000
Cleanrot Knight's Magic Sword,0,4,0,0,0,10000
Cleanrot Knight's Cold Sword,0,4,0,0,0,10000
Cleanrot Knight's Poison Sword,0,0,0,0,0,10013
Cleanrot Knight's Blood Sword,0,0,0,0,0,10013
Cleanrot Knight's Occult Sword,7,0,0,0,0,10013
Rapier,0,0,0,0,0,10000
Heavy Rapier,1,0,0,0,0,10000
Keen Rapier,2,0,0,0,0,10000
Quality Rapier,8,0,0,0,0,10000
Fire Rapier,0,0,4,0,0,10005
Flame Art Rapier,0,0,4,0,0,10000
Lightning Rapier,0,0,0,4,0,10000
Sacred Rapier,0,0,0,0,4,10000
Magic Rapier,0,4,0,0,0,10000
Cold Rapier,0,4,0,0,0,10000
Poison Rapier,0,0,0,0,0,10013
Blood Rapier,0,0,0,0,0,10013
Occult Rapier,7,0,0,0,0,10013
Rogier's Rapier,0,0,0,0,0,10000
Rogier's Heavy Rapier,1,0,0,0,0,10000
Rogier's Keen Rapier,2,0,0,0,0,10000
Rogier's Quality Rapier,8,0,0,0,0,10000
Rogier's Fire Rapier,0,0,4,0,0,10005
Rogier's Flame Art Rapier,0,0,4,0,0,10000
Rogier's Lightning Rapier,0,0,0,4,0,10000
Rogier's Sacred Rapier,0,0,0,0,4,10000
Rogier's Magic Rapier,0,4,0,0,0,10000
Rogier's Cold Rapier,0,4,0,0,0,10000
Rogier's Poison Rapier,0,0,0,0,0,10013
Rogier's Blood Rapier,0,0,0,0,0,10013
Rogier's Occult Rapier,7,0,0,0,0,10013
Antspur Rapier,0,0,0,0,0,10000
Heavy Antspur Rapier,1,0,0,0,0,10000
Keen Antspur Rapier,2,0,0,0,0,10000
Quality Antspur Rapier,8,0,0,0,0,10000
Fire Antspur Rapier,0,0,4,0,0,10005
Flame Art Antspur Rapier,0,0,4,0,0,10000
Lightning Antspur Rapier,0,0,0,4,0,10000
Sacred Antspur Rapier,0,0,0,0,4,10000
Magic Antspur Rapier,0,4,0,0,0,10000
Cold Antspur Rapier,0,4,0,0,0,10000
Poison Antspur Rapier,0,0,0,0,0,10013
Blood Antspur Rapier,0,0,0,0,0,10013
Occult Antspur Rapier,7,0,0,0,0,10013
Frozen Needle,0,0,0,0,0,10000
Noble's Estoc,0,0,0,0,0,10000
Noble's Heavy Estoc,1,0,0,0,0,10000
Noble's Keen Estoc,2,0,0,0,0,10000
Noble's Quality Estoc,8,0,0,0,0,10000
Noble's Fire Estoc,0,0,4,0,0,10005
Noble's Flame Art Estoc,0,0,4,0,0,10000
Noble's Lightning Estoc,0,0,0,4,0,10000
Noble's Sacred Estoc,0,0,0,0,4,10000
Noble's Magic Estoc,0,4,0,0,0,10000
Noble's Cold Estoc,0,4,0,0,0,10000
Noble's Poison Estoc,0,0,0,0,0,10013
Noble's Blood Estoc,0,0,0,0,0,10013
Noble's Occult Estoc,7,0,0,0,0,10013
Bloody Helice,7,0,0,0,0,10013
Godskin Stitcher,0,0,0,0,0,10000
Heavy Godskin Stitcher,1,0,0,0,0,10000
Keen Godskin Stitcher,2,0,0,0,0,10000
Quality Godskin Stitcher,8,0,0,0,0,10000
Fire Godskin Stitcher,0,0,4,0,0,10005
Flame Art Godskin Stitcher,0,0,4,0,0,10000
Lightning Godskin Stitcher,0,0,0,4,0,10000
Sacred Godskin Stitcher,0,0,0,0,4,10000
Magic Godskin Stitcher,0,4,0,0,0,10000
Cold Godskin Stitcher,0,4,0,0,0,10000
Poison Godskin Stitcher,0,0,0,0,0,10013
Blood Godskin Stitcher,0,0,0,0,0,10013
Occult Godskin Stitcher,7,0,0,0,0,10013
Great Epee,0,0,0,0,0,10000
Heavy Great Epee,1,0,0,0,0,10000
Keen Great Epee,2,0,0,0,0,10000
Quality Great Epee,8,0,0,0,0,10000
Fire Great Epee,0,0,4,0,0,10005
Flame Art Great Epee,0,0,4,0,0,10000
Lightning Great Epee,0,0,0,4,0,10000
Sacred Great Epee,0,0,0,0,4,10000
Magic Great Epee,0,4,0,0,0,10000
Cold Great Epee,0,4,0,0,0,10000
Poison Great Epee,0,0,0,0,0,10013
Blood Great Epee,0,0,0,0,0,10013
Occult Great Epee,7,0,0,0,0,10013
Dragon King's Cragblade,0,0,0,4,0,10000
Falchion,0,0,0,0,0,10000
Heavy Falchion,1,0,0,0,0,10000
Keen Falchion,2,0,0,0,0,10000
Quality Falchion,8,0,0,0,0,10000
Fire Falchion,0,0,4,0,0,10005
Flame Art Falchion,0,0,4,0,0,10000
Lightning Falchion,0,0,0,4,0,10000
Sacred Falchion,0,0,0,0,4,10000
Magic Falchion,0,4,0,0,0,10000
Cold Falchion,0,4,0,0,0,10000
Poison Falchion,0,0,0,0,0,10013
Blood Falchion,0,0,0,0,0,10013
Occult Falchion,7,0,0,0,0,10013
Beastman's Curved Sword,0,0,0,0,0,10000
Beastman's Heavy Curved Sword,1,0,0,0,0,10000
Beastman's Keen Curved Sword,2,0,0,0,0,10000
Beastman's Quality Curved Sword,8,0,0,0,0,10000
Beastman's Fire Curved Sword,0,0,4,0,0,10005
Beastman's Flame Art Curved Sword,0,0,4,0,0,10000
Beastman's Lightning Curved Sword,0,0,0,4,0,10000
Beastman's Sacred Curved Sword,0,0,0,0,4,10000
Beastman's Magic Curved Sword,0,4,0,0,0,10000
Beastman's Cold Curved Sword,0,4,0,0,0,10000
Beastman's Poison Curved Sword,0,0,0,0,0,10013
Beastman's Blood Curved Sword,0,0,0,0,0,10013
Beastman's Occult Curved Sword,7,0,0,0,0,10013
Shotel,0,0,0,0,0,10000
Heavy Shotel,1,0,0,0,0,10000
Keen Shotel,2,0,0,0,0,10000
Quality Shotel,8,0,0,0,0,10000
Fire Shotel,0,0,4,0,0,10005
Flame Art Shotel,0,0,4,0,0,10000
Lightning Shotel,0,0,0,4,0,10000
Sacred Shotel,0,0,0,0,4,10000
Magic Shotel,0,4,0,0,0,10000
Cold Shotel,0,4,0,0,0,10000
Poison Shotel,0,0,0,0,0,10013
Blood Shotel,0,0,0,0,0,10013
Occult Shotel,7,0,0,0,0,10013
Shamshir,0,0,0,0,0,10000
Heavy Shamshir,1,0,0,0,0,10000
