Name,Str +0,Dex +0,Int +0,Fai +0,Arc +0,Str +1,Dex +1,Int +1,Fai +1,Arc +1,Str +2,Dex +2,Int +2,Fai +2,Arc +2,Str +3,Dex +3,Int +3,Fai +3,Arc +3,Str +4,Dex +4,Int +4,Fai +4,Arc +4,Str +5,Dex +5,Int +5,Fai +5,Arc +5,Str +6,Dex +6,Int +6,Fai +6,Arc +6,Str +7,Dex +7,Int +7,Fai +7,Arc +7,Str +8,Dex +8,Int +8,Fai +8,Arc +8,Str +9,Dex +9,Int +9,Fai +9,Arc +9,Str +10,Dex +10,Int +10,Fai +10,Arc +10,Str +11,Dex +11,Int +11,Fai +11,Arc +11,Str +12,Dex +12,Int +12,Fai +12,Arc +12,Str +13,Dex +13,Int +13,Fai +13,Arc +13,Str +14,Dex +14,Int +14,Fai +14,Arc +14,Str +15,Dex +15,Int +15,Fai +15,Arc +15,Str +16,Dex +16,Int +16,Fai +16,Arc +16,Str +17,Dex +17,Int +17,Fai +17,Arc +17,Str +18,Dex +18,Int +18,Fai +18,Arc +18,Str +19,Dex +19,Int +19,Fai +19,Arc +19,Str +20,Dex +20,Int +20,Fai +20,Arc +20,Str +21,Dex +21,Int +21,Fai +21,Arc +21,Str +22,Dex +22,Int +22,Fai +22,Arc +22,Str +23,Dex +23,Int +23,Fai +23,Arc +23,Str +24,Dex +24,Int +24,Fai +24,Arc +24,Str +25,Dex +25,Int +25,Fai +25,Arc +25
Poison Dagger,0.33,0.61,0,0,0.3,0.3432,0.6344,0,0,0.309,0.3564,0.6588,0,0,0.318,0.3696,0.6832,0,0,0.327,0.3828,0.7076,0,0,0.336,0.396,0.732,0,0,0.345,0.4092,0.7564,0,0,0.354,0.4224,0.7808,0,0,0.363,0.4356,0.8052,0,0,0.372,0.4488,0.8296,0,0,0.381,0.462,0.854,0,0,0.39,0.4719,0.8723,0,0,0.393,0.4818,0.8906,0,0,0.396,0.4917,0.9089,0,0,0.399,0.5016,0.9272,0,0,0.402,0.5115,0.9455,0,0,0.405,0.5214,0.9638,0,0,0.408,0.5313,0.9821,0,0,0.411,0.5412,1.0004,0,0,0.414,0.5511,1.0187,0,0,0.417,0.561,1.037,0,0,0.42,0.5742,1.0614,0,0,0.423,0.5874,1.0858,0,0,0.426,0.6006,1.1102,0,0,0.429,0.6138,1.1346,0,0,0.432,0.627,1.159,0,0,0.435
Blood Dagger,0.33,0.61,0,0,0.3,0.3432,0.6344,0,0,0.309,0.3564,0.6588,0,0,0.318,0.3696,0.6832,0,0,0.327,0.3828,0.7076,0,0,0.336,0.396,0.732,0,0,0.345,0.4092,0.7564,0,0,0.354,0.4224,0.7808,0,0,0.363,0.4356,0.8052,0,0,0.372,0.4488,0.8296,0,0,0.381,0.462,0.854,0,0,0.39,0.4719,0.8723,0,0,0.393,0.4818,0.8906,0,0,0.396,0.4917,0.9089,0,0,0.399,0.5016,0.9272,0,0,0.402,0.5115,0.9455,0,0,0.405,0.5214,0.9638,0,0,0.408,0.5313,0.9821,0,0,0.411,0.5412,1.0004,0,0,0.414,0.5511,1.0187,0,0,0.417,0.561,1.037,0,0,0.42,0.5742,1.0614,0,0,0.423,0.5874,1.0858,0,0,0.426,0.6006,1.1102,0,0,0.429,0.6138,1.1346,0,0,0.432,0.627,1.159,0,0,0.435
Occult Dagger,0.112,0.208,0,0,0.85,0.1176,0.2184,0,0,0.884,0.1232,0.2288,0,0,0.918,0.1288,0.2392,0,0,0.952,0.1344,0.2496,0,0,0.986,0.14,0.26,0,0,1.02,0.1456,0.2704,0,0,1.054,0.1512,0.2808,0,0,1.088,0.1568,0.2912,0,0,1.122,0.1624,0.3016,0,0,1.156,0.168,0.312,0,0,1.19,0.1708,0.3172,0,0,1.2155,0.1736,0.3224,0,0,1.241,0.1764,0.3276,0,0,1.2665,0.1792,0.3328,0,0,1.292,0.182,0.338,0,0,1.3175,0.1848,0.3432,0,0,1.343,0.1876,0.3484,0,0,1.3685,0.1904,0.3536,0,0,1.394,0.1932,0.3588,0,0,1.4195,0.196,0.364,0,0,1.445,0.1988,0.3692,0,0,1.462,0.2016,0.3744,0,0,1.479,0.2044,0.3796,0,0,1.496,0.2072,0.3848,0,0,1.513,0.21,0.39,0,0,1.53
Black Knife,0.1,0.55,0,0.35,0,0.108,0.594,0,0.378,0,0.116,0.638,0,0.406,0,0.124,0.682,0,0.434,0,0.132,0.726,0,0.462,0,0.14,0.77,0,0.49,0,0.148,0.814,0,0.518,0,0.156,0.858,0,0.546,0,0.164,0.902,0,0.574,0,0.172,0.946,0,0.602,0,0.18,0.99,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parrying Dagger,0.16,0.76,0,0,0,0.1632,0.7752,0,0,0,0.1664,0.7904,0,0,0,0.1696,0.8056,0,0,0,0.1728,0.8208,0,0,0,0.176,0.836,0,0,0,0.1792,0.8512,0,0,0,0.1824,0.8664,0,0,0,0.1856,0.8816,0,0,0,0.1888,0.8968,0,0,0,0.192,0.912,0,0,0,0.1952,0.9272,0,0,0,0.1984,0.9424,0,0,0,0.2016,0.9576,0,0,0,0.2048,0.9728,0,0,0,0.208,0.988,0,0,0,0.2112,1.0032,0,0,0,0.2144,1.0184,0,0,0,0.2176,1.0336,0,0,0,0.2208,1.0488,0,0,0,0.224,1.064,0,0,0,0.2272,1.0792,0,0,0,0.2304,1.0944,0,0,0,0.2336,1.1096,0,0,0,0.2368,1.1248,0,0,0,0.24,1.14,0,0,0
Heavy Parrying Dagger,0.99,0,0,0,0,1.0175,0,0,0,0,1.045,0,0,0,0,1.0725,0,0,0,0,1.1,0,0,0,0,1.1275,0,0,0,0,1.155,0,0,0,0,1.1825,0,0,0,0,1.21,0,0,0,0,1.2375,0,0,0,0,1.265,0,0,0,0,1.287,0,0,0,0,1.309,0,0,0,0,1.331,0,0,0,0,1.353,0,0,0,0,1.375,0,0,0,0,1.397,0,0,0,0,1.419,0,0,0,0,1.441,0,0,0,0,1.463,0,0,0,0,1.485,0,0,0,0,1.496,0,0,0,0,1.507,0,0,0,0,1.518,0,0,0,0,1.529,0,0,0,0,1.54,0,0,0,0
Keen Parrying Dagger,0.045,1.11,0,0,0,0.0477,1.147,0,0,0,0.0504,1.184,0,0,0,0.0531,1.221,0,0,0,0.0558,1.258,0,0,0,0.0585,1.295,0,0,0,0.0612,1.332,0,0,0,0.0639,1.369,0,0,0,0.0666,1.406,0,0,0,0.0693,1.443,0,0,0,0.072,1.48,0,0,0,0.0756,1.5096,0,0,0,0.0792,1.5392,0,0,0,0.0828,1.5688,0,0,0,0.0864,1.5984,0,0,0,0.09,1.628,0,0,0,0.0936,1.6576,0,0,0,0.0972,1.6872,0,0,0,0.1008,1.7168,0,0,0,0.1044,1.7464,0,0,0,0.108,1.776,0,0,0,0.1098,1.7908,0,0,0,0.1116,1.8056,0,0,0,0.1134,1.8204,0,0,0,0.1152,1.8352,0,0,0,0.117,1.85,0,0,0
Quality Parrying Dagger,0.64,0.64,0,0,0,0.672,0.672,0,0,0,0.704,0.704,0,0,0,0.736,0.736,0,0,0,0.768,0.768,0,0,0,0.8,0.8,0,0,0,0.832,0.832,0,0,0,0.864,0.864,0,0,0,0.896,0.896,0,0,0,0.928,0.928,0,0,0,0.96,0.96,0,0,0,0.9792,0.9792,0,0,0,0.9984,0.9984,0,0,0,1.0176,1.0176,0,0,0,1.0368,1.0368,0,0,0,1.056,1.056,0,0,0,1.0752,1.0752,0,0,0,1.0944,1.0944,0,0,0,1.1136,1.1136,0,0,0,1.1328,1.1328,0,0,0,1.152,1.152,0,0,0,1.1648,1.1648,0,0,0,1.1776,1.1776,0,0,0,1.1904,1.1904,0,0,0,1.2032,1.2032,0,0,0,1.216,1.216,0,0,0
Fire Parrying Dagger,0.598,0.045,0,0,0,0.6164,0.0477,0,0,0,0.6348,0.0504,0,0,0,0.6532,0.0531,0,0,0,0.6716,0.0558,0,0,0,0.69,0.0585,0,0,0,0.7084,0.0612,0,0,0,0.7268,0.0639,0,0,0,0.7452,0.0666,0,0,0,0.7636,0.0693,0,0,0,0.782,0.072,0,0,0,0.7958,0.0747,0,0,0,0.8096,0.0774,0,0,0,0.8234,0.0801,0,0,0,0.8372,0.0828,0,0,0,0.851,0.0855,0,0,0,0.8648,0.0882,0,0,0,0.8786,0.0909,0,0,0,0.8924,0.0936,0,0,0,0.9062,0.0963,0,0,0,0.92,0.099,0,0,0,0.9292,0.1008,0,0,0,0.9384,0.1026,0,0,0,0.9476,0.1044,0,0,0,0.9568,0.1062,0,0,0,0.966,0.108,0,0,0
Flame Art Parrying Dagger,0.032,0.176,0,0.5,0,0.034,0.187,0,0.535,0,0.036,0.198,0,0.57,0,0.038,0.209,0,0.605,0,0.04,0.22,0,0.64,0,0.042,0.231,0,0.675,0,0.044,0.242,0,0.71,0,0.046,0.253,0,0.745,0,0.048,0.264,0,0.78,0,0.05,0.275,0,0.815,0,0.052,0.286,0,0.85,0,0.0536,0.2948,0,0.875,0,0.0552,0.3036,0,0.9,0,0.0568,0.3124,0,0.925,0,0.0584,0.3212,0,0.95,0,0.06,0.33,0,0.975,0,0.0616,0.3388,0,1,0,0.0632,0.3476,0,1.025,0,0.0648,0.3564,0,1.05,0,0.0664,0.3652,0,1.075,0,0.068,0.374,0,1.1,0,0.0688,0.3784,0,1.11,0,0.0696,0.3828,0,1.12,0,0.0704,0.3872,0,1.13,0,0.0712,0.3916,0,1.14,0,0.072,0.396,0,1.15,0
Lightning Parrying Dagger,0.045,0.598,0,0,0,0.0477,0.6164,0,0,0,0.0504,0.6348,0,0,0,0.0531,0.6532,0,0,0,0.0558,0.6716,0,0,0,0.0585,0.69,0,0,0,0.0612,0.7084,0,0,0,0.0639,0.7268,0,0,0,0.0666,0.7452,0,0,0,0.0693,0.7636,0,0,0,0.072,0.782,0,0,0,0.0747,0.7958,0,0,0,0.0774,0.8096,0,0,0,0.0801,0.8234,0,0,0,0.0828,0.8372,0,0,0,0.0855,0.851,0,0,0,0.0882,0.8648,0,0,0,0.0909,0.8786,0,0,0,0.0936,0.8924,0,0,0,0.0963,0.9062,0,0,0,0.099,0.92,0,0,0,0.1008,0.9292,0,0,0,0.1026,0.9384,0,0,0,0.1044,0.9476,0,0,0,0.1062,0.9568,0,0,0,0.108,0.966,0,0,0
Sacred Parrying Dagger,0.04,0.22,0,0.5,0,0.0416,0.2288,0,0.535,0,0.0432,0.2376,0,0.57,0,0.0448,0.2464,0,0.605,0,0.0464,0.2552,0,0.64,0,0.048,0.264,0,0.675,0,0.0496,0.2728,0,0.71,0,0.0512,0.2816,0,0.745,0,0.0528,0.2904,0,0.78,0,0.0544,0.2992,0,0.815,0,0.056,0.308,0,0.85,0,0.0572,0.3146,0,0.875,0,0.0584,0.3212,0,0.9,0,0.0596,0.3278,0,0.925,0,0.0608,0.3344,0,0.95,0,0.062,0.341,0,0.975,0,0.0632,0.3476,0,1,0,0.0644,0.3542,0,1.025,0,0.0656,0.3608,0,1.05,0,0.0668,0.3674,0,1.075,0,0.068,0.374,0,1.1,0,0.0688,0.3784,0,1.11,0,0.0696,0.3828,0,1.12,0,0.0704,0.3872,0,1.13,0,0.0712,0.3916,0,1.14,0,0.072,0.396,0,1.15,0
Magic Parrying Dagger,0.032,0.176,0.55,0,0,0.0332,0.1826,0.5885,0,0,0.0344,0.1892,0.627,0,0,0.0356,0.1958,0.6655,0,0,0.0368,0.2024,0.704,0,0,0.038,0.209,0.7425,0,0,0.0392,0.2156,0.781,0,0,0.0404,0.2222,0.8195,0,0,0.0416,0.2288,0.858,0,0,0.0428,0.2354,0.8965,0,0,0.044,0.242,0.935,0,0,0.0444,0.2442,0.9625,0,0,0.0448,0.2464,0.99,0,0,0.0452,0.2486,1.0175,0,0,0.0456,0.2508,1.045,0,0,0.046,0.253,1.0725,0,0,0.0464,0.2552,1.1,0,0,0.0468,0.2574,1.1275,0,0,0.0472,0.2596,1.155,0,0,0.0476,0.2618,1.1825,0,0,0.048,0.264,1.21,0,0,0.0488,0.2684,1.2265,0,0,0.0496,0.2728,1.243,0,0,0.0504,0.2772,1.2595,0,0,0.0512,0.2816,1.276,0,0,0.052,0.286,1.2925,0,0
Cold Parrying Dagger,0.14,0.68,0.41,0,0,0.147,0.714,0.4305,0,0,0.154,0.748,0.451,0,0,0.161,0.782,0.4715,0,0,0.168,0.816,0.492,0,0,0.175,0.85,0.5125,0,0,0.182,0.884,0.533,0,0,0.189,0.918,0.5535,0,0,0.196,0.952,0.574,0,0,0.203,0.986,0.5945,0,0,0.21,1.02,0.615,0,0,0.2142,1.0404,0.6314,0,0,0.2184,1.0608,0.6478,0,0,0.2226,1.0812,0.6642,0,0,0.2268,1.1016,0.6806,0,0,0.231,1.122,0.697,0,0,0.2352,1.1424,0.7134,0,0,0.2394,1.1628,0.7298,0,0,0.2436,1.1832,0.7462,0,0,0.2478,1.2036,0.7626,0,0,0.252,1.224,0.779,0,0,0.2548,1.2376,0.7872,0,0,0.2576,1.2512,0.7954,0,0,0.2604,1.2648,0.8036,0,0,0.2632,1.2784,0.8118,0,0,0.266,1.292,0.82,0,0
Poison Parrying Dagger,0.15,0.72,0,0,0.3,0.156,0.7488,0,0,0.309,0.162,0.7776,0,0,0.318,0.168,0.8064,0,0,0.327,0.174,0.8352,0,0,0.336,0.18,0.864,0,0,0.345,0.186,0.8928,0,0,0.354,0.192,0.9216,0,0,0.363,0.198,0.9504,0,0,0.372,0.204,0.9792,0,0,0.381,0.21,1.008,0,0,0.39,0.2145,1.0296,0,0,0.393,0.219,1.0512,0,0,0.396,0.2235,1.0728,0,0,0.399,0.228,1.0944,0,0,0.402,0.2325,1.116,0,0,0.405,0.237,1.1376,0,0,0.408,0.2415,1.1592,0,0,0.411,0.246,1.1808,0,0,0.414,0.2505,1.2024,0,0,0.417,0.255,1.224,0,0,0.42,0.261,1.2528,0,0,0.423,0.267,1.2816,0,0,0.426,0.273,1.3104,0,0,0.429,0.279,1.3392,0,0,0.432,0.285,1.368,0,0,0.435
Blood Parrying Dagger,0.15,0.72,0,0,0.3,0.156,0.7488,0,0,0.309,0.162,0.7776,0,0,0.318,0.168,0.8064,0,0,0.327,0.174,0.8352,0,0,0.336,0.18,0.864,0,0,0.345,0.186,0.8928,0,0,0.354,0.192,0.9216,0,0,0.363,0.198,0.9504,0,0,0.372,0.204,0.9792,0,0,0.381,0.21,1.008,0,0,0.39,0.2145,1.0296,0,0,0.393,0.219,1.0512,0,0,0.396,0.2235,1.0728,0,0,0.399,0.228,1.0944,0,0,0.402,0.2325,1.116,0,0,0.405,0.237,1.1376,0,0,0.408,0.2415,1.1592,0,0,0.411,0.246,1.1808,0,0,0.414,0.2505,1.2024,0,0,0.417,0.255,1.224,0,0,0.42,0.261,1.2528,0,0,0.423,0.267,1.2816,0,0,0.426,0.273,1.3104,0,0,0.429,0.279,1.3392,0,0,0.432,0.285,1.368,0,0,0.435
Occult Parrying Dagger,0.048,0.24,0,0,0.78,0.0504,0.252,0,0,0.8112,0.0528,0.264,0,0,0.8424,0.0552,0.276,0,0,0.8736,0.0576,0.288,0,0,0.9048,0.06,0.3,0,0,0.936,0.0624,0.312,0,0,0.9672,0.0648,0.324,0,0,0.9984,0.0672,0.336,0,0,1.0296,0.0696,0.348,0,0,1.0608,0.072,0.36,0,0,1.092,0.0732,0.366,0,0,1.1154,0.0744,0.372,0,0,1.1388,0.0756,0.378,0,0,1.1622,0.0768,0.384,0,0,1.1856,0.078,0.39,0,0,1.209,0.0792,0.396,0,0,1.2324,0.0804,0.402,0,0,1.2558,0.0816,0.408,0,0,1.2792,0.0828,0.414,0,0,1.3026,0.084,0.42,0,0,1.326,0.0852,0.426,0,0,1.3416,0.0864,0.432,0,0,1.3572,0.0876,0.438,0,0,1.3728,0.0888,0.444,0,0,1.3884,0.09,0.45,0,0,1.404
Misericorde,0.15,0.5,0,0,0,0.153,0.51,0,0,0,0.156,0.52,0,0,0,0.159,0.53,0,0,0,0.162,0.54,0,0,0,0.165,0.55,0,0,0,0.168,0.56,0,0,0,0.171,0.57,0,0,0,0.174,0.58,0,0,0,0.177,0.59,0,0,0,0.18,0.6,0,0,0,0.183,0.61,0,0,0,0.186,0.62,0,0,0,0.189,0.63,0,0,0,0.192,0.64,0,0,0,0.195,0.65,0,0,0,0.198,0.66,0,0,0,0.201,0.67,0,0,0,0.204,0.68,0,0,0,0.207,0.69,0,0,0,0.21,0.7,0,0,0,0.213,0.71,0,0,0,0.216,0.72,0,0,0,0.219,0.73,0,0,0,0.222,0.74,0,0,0,0.225,0.75,0,0,0
Heavy Misericorde,0.684,0,0,0,0,0.703,0,0,0,0,0.722,0,0,0,0,0.741,0,0,0,0,0.76,0,0,0,0,0.779,0,0,0,0,0.798,0,0,0,0,0.817,0,0,0,0,0.836,0,0,0,0,0.855,0,0,0,0,0.874,0,0,0,0,0.8892,0,0,0,0,0.9044,0,0,0,0,0.9196,0,0,0,0,0.9348,0,0,0,0,0.95,0,0,0,0,0.9652,0,0,0,0,0.9804,0,0,0,0,0.9956,0,0,0,0,1.0108,0,0,0,0,1.026,0,0,0,0,1.0336,0,0,0,0,1.0412,0,0,0,0,1.0488,0,0,0,0,1.0564,0,0,0,0,1.064,0,0,0,0
